date,region,state_po,candidate,party,voteshare,candidatevotes,totalvotes,ev,version
11/8/2016,District of Columbia,DC,Trump,republican,4.08747445930838,,,,20171015
11/8/2016,District of Columbia,DC,Johnson,libertarian,1.5761337496948,,,,20171015
11/8/2016,District of Columbia,DC,Stein,green,1.36795301797808,,,,20171015
11/8/2016,Florida,FL,Trump,republican,49.021941416590700,,,,20171015
11/8/2016,Florida,FL,Clinton,democrat,47.823315805805100,,,,20171015
11/8/2016,Florida,FL,Johnson,libertarian,2.1978996052988700,,,,20171015
11/8/2016,Florida,FL,Stein,green,0.68363835860976800,,,,20171015
11/8/2016,Florida,FL,Castle,constitution party,0.17489311880768200,,,,20171015
11/8/2016,Florida,FL,De La Fuente,reform party,0.096687497790614200,,,,20171015
11/8/2016,Georgia,GA,Trump,republican,50.3783979309,,,,20171015
11/8/2016,Georgia,GA,Clinton,democrat,45.2867675873,,,,20171015
11/8/2016,Georgia,GA,Johnson,libertarian,3.0217334949,,,,20171015
11/8/2016,Hawaii,HI,Clinton,democrat,62.2214917342174,,,3,20171015
11/8/2016,Hawaii,HI,Trump,republican,30.0386770085117,,,,20171015
11/8/2016,Hawaii,HI,Johnson,libertarian,3.7194273284888,,,,20171015
11/8/2016,Hawaii,HI,Stein,green,2.96943373968671,,,,20171015
11/8/2016,Hawaii,HI,Castle,constitution party,1.05097018909537,,,,20171015
11/8/2016,Hawaii,HI,Sanders,independent,0,,,1,JJCooley
11/8/2016,Idaho,ID,Trump,republican,59.261432369196900,,,,20171015
11/8/2016,Idaho,ID,Clinton,democrat,27.492013820979200,,,,20171015
11/8/2016,Idaho,ID,McMullin,independent,8.8008054994168800,,,,20171015
11/8/2016,Idaho,ID,Johnson,libertarian,4.10442517620300,,,,20171015
11/8/2016,Idaho,ID,Castle,constitution party,0.34132313420402600,,,,20171015
11/8/2016,Illinois,IL,Clinton,democrat,55.825366698793300,,,,20171015
11/8/2016,Illinois,IL,Trump,republican,38.761753073825300,,,,20171015
11/8/2016,Illinois,IL,Johnson,libertarian,3.7857649630880900,,,,20171015
11/8/2016,Illinois,IL,Stein,green,1.3872131180704400,,,,20171015
11/8/2016,Indiana,IN,Trump,republican,56.940033448411300,,,,20171015
11/8/2016,Indiana,IN,Clinton,democrat,37.77483968675200,,,,20171015
11/8/2016,Indiana,IN,Johnson,libertarian,4.8992708480349600,,,,20171015
11/8/2016,Indiana,IN,Castle,constitution party,0.070823756708512500,,,,20171015
11/8/2016,Indiana,IN,Soltysik,socialist party usa,0.0020841270688617500,,,,20171015
11/8/2016,Iowa,IA,Trump,republican,51.162061344677400,,,,20171015
11/8/2016,Iowa,IA,Clinton,democrat,41.752513445496200,,,,20171015
11/8/2016,Iowa,IA,Johnson,libertarian,3.7804519730706800,,,,20171015
11/8/2016,Iowa,IA,McMullin,nominated by petition,0.78986701414172400,,,,20171015
11/8/2016,Iowa,IA,Stein,green,0.73321069507786300,,,,20171015
11/8/2016,Iowa,IA,Castle,constitution party,0.34076827757125200,,,,20171015
11/8/2016,Iowa,IA,Kahn,new independent party iowa,0.14352508335568900,,,,20171015
11/8/2016,Iowa,IA,Vacek,legal marijuana now,0.14346120926429800,,,,20171015
11/8/2016,Iowa,IA,La Riva,socialism and liberation party,0.020631331519309100,,,,20171015
11/8/2016,Kansas,KS,Trump,republican,56.654581805839600,,,,20171015
11/8/2016,Kansas,KS,Clinton,democrat,36.052370732234500,,,,20171015
11/8/2016,Kansas,KS,Johnson,libertarian,4.6779725127110600,,,,20171015
11/8/2016,Kansas,KS,Stein,independent,1.9846302184562300,,,,20171015
11/8/2016,Kentucky,KY,Trump,republican,62.519638551900100,,,,20171015
11/8/2016,Kentucky,KY,Clinton,democrat,32.682188333647800,,,,20171015
11/8/2016,Kentucky,KY,Johnson,libertarian,2.7935466536115400,,,,20171015
11/8/2016,Kentucky,KY,McMullin,independent,1.1838999994283200,,,,20171015
11/8/2016,Kentucky,KY,Stein,green,0.72307290131897300,,,,20171015
11/8/2016,Kentucky,KY,De La Fuente,american delta party,0.058623318672306600,,,,20171015
11/8/2016,Louisiana,LA,Trump,republican,58.088684653568800,,,,20171015
11/8/2016,Louisiana,LA,Clinton,democrat,38.44956609851400,,,,20171015
11/8/2016,Louisiana,LA,Johnson,libertarian,1.871729967787600,,,,20171015
11/8/2016,Louisiana,LA,Stein,green,0.69151201163904800,,,,20171015
11/8/2016,Maine,ME,Clinton,democrat,46.345214097308900,,,,20171015
11/8/2016,Maine,ME,Trump,republican,43.476678084498900,,,,20171015
11/8/2016,Maine,ME,Johnson,libertarian,4.9365714374549800,,,,20171015
11/8/2016,Maine,ME,Stein,green,1.8462427386214700,,,,20171015
11/8/2016,Maine 1st CD,ME-1,Trump,republican,39.15,,,,JJCooley
11/8/2016,Maine 1st CD,ME-1,Clinton,democrat,53.96,,,,JJCooley
11/8/2016,Maine 2nd CD,ME-2,Trump,republican,51.26,,,,JJCooley
11/8/2016,Maine 2nd CD,ME-2,Clinton,democrat,40.97,,,,JJCooley
11/8/2016,Maryland,MD,Clinton,democrat,60.325744235192800,,,,20171015
11/8/2016,Maryland,MD,Trump,republican,33.909304728547700,,,,20171015
11/8/2016,Maryland,MD,Johnson,libertarian,2.8620005565450500,,,,20171015
11/8/2016,Maryland,MD,Stein,green,1.2923134225866700,,,,20171015
11/8/2016,Maryland,MD,Trump,republican,0.0093117033370412400,,,,20171015
11/8/2016,Maryland,MD,Clinton,democrat,0.0028042967578734200,,,,20171015
11/8/2016,Massachusetts,MA,Clinton,democrat,60.0050645915876,,,,20171015
11/8/2016,Massachusetts,MA,Trump,republican,32.8083581400077,,,,20171015
11/8/2016,Massachusetts,MA,Johnson,libertarian,4.15085986780333,,,,20171015
11/8/2016,Massachusetts,MA,Stein,green,1.43339370342546,,,,20171015
11/8/2016,Michigan,MI,Trump,republican,47.497564219996100,,,,20171015
11/8/2016,Michigan,MI,Clinton,democrat,47.274530950866800,,,,20171015
11/8/2016,Michigan,MI,Johnson,libertarian,3.5867016830010500,,,,20171015
11/8/2016,Michigan,MI,Stein,green,1.0723057856130200,,,,20171015
11/8/2016,Michigan,MI,Castle,u.s. taxpayers party,0.33627932833314300,,,,20171015
11/8/2016,Michigan,MI,Soltysik,natural law,0.046027699131787200,,,,20171015
11/8/2016,Minnesota,MN,Clinton,democrat,46.445033961766900,,,,20171015
11/8/2016,Minnesota,MN,Trump,republican,44.925193104277300,,,,20171015
11/8/2016,Minnesota,MN,Johnson,libertarian,3.8363451012672600,,,,20171015
11/8/2016,Minnesota,MN,McMullin,independence,1.8023405467705200,,,,20171015
11/8/2016,Minnesota,MN,Stein,green,1.2559843139492200,,,,20171015
11/8/2016,Minnesota,MN,Vacek,legal marijuana now,0.38342396822583100,,,,20171015
11/8/2016,Minnesota,MN,Castle,constitution party,0.32111035723527200,,,,20171015
11/8/2016,Minnesota,MN,Kennedy,socialist workers,0.056744438128187400,,,,20171015
11/8/2016,Minnesota,MN,De La Fuente,american delta party,0.048560470690190300,,,,20171015
11/8/2016,Mississippi,MS,Trump,republican,57.941038088835600,,,,20171015
11/8/2016,Mississippi,MS,Clinton,democrat,40.114788271784100,,,,20171015
11/8/2016,Mississippi,MS,Johnson,libertarian,1.193609496616800,,,,20171015
11/8/2016,Mississippi,MS,Castle,constitution party,0.32967932545972800,,,,20171015
11/8/2016,Mississippi,MS,Stein,green,0.30851105174071800,,,,20171015
11/8/2016,Mississippi,MS,Hedges,prohibition,0.059122326988639400,,,,20171015
11/8/2016,Mississippi,MS,De La Fuente,american delta party,0.053251438574382900,,,,20171015
11/8/2016,Missouri,MO,Trump,republican,56.772347838161600,,,,20171015
11/8/2016,Missouri,MO,Clinton,democrat,38.135230835236700,,,,20171015
11/8/2016,Missouri,MO,Johnson,libertarian,3.466453986943700,,,,20171015
11/8/2016,Missouri,MO,Stein,green,0.90504004657116300,,,,20171015
11/8/2016,Missouri,MO,Castle,constitution party,0.46613888389431800,,,,20171015
11/8/2016,Montana,MT,Trump,republican,56.466191868577200,,,,20171015
11/8/2016,Montana,MT,Clinton,democrat,35.935218775150300,,,,20171015
11/8/2016,Montana,MT,Johnson,libertarian,5.6694693504487100,,,,20171015
11/8/2016,Montana,MT,Stein,green,1.611644281594900,,,,20171015
11/8/2016,Montana,MT,De La Fuente,american delta party,0.31747572422885800,,,,20171015
11/8/2016,Nebraska,NE,Trump,republican,58.747351127125800,,,,20171015
11/8/2016,Nebraska,NE,Clinton,democrat,33.698756377135500,,,,20171015
11/8/2016,Nebraska,NE,Johnson,libertarian,4.6132142184507200,,,,20171015
11/8/2016,Nebraska,NE,Stein,nominated by petition,1.0394123855313800,,,,20171015
11/8/2016,Nebraska 1st CD,NE-1,Trump,republican,56.18,,,,JJCooley
11/8/2016,Nebraska 1st CD,NE-1,Clinton,democrat,35.46,,,,JJCooley
11/8/2016,Nebraska 2nd CD,NE-2,Trump,republican,47.16,,,,JJCooley
11/8/2016,Nebraska 2nd CD,NE-2,Clinton,democrat,44.92,,,,JJCooley
11/8/2016,Nebraska 3rd CD,NE-3,Trump,republican,73.91,,,,JJCooley
11/8/2016,Nebraska 3rd CD,NE-3,Clinton,democrat,19.73,,,,JJCooley
11/8/2016,Nevada,NV,Clinton,democrat,47.91782367811900,,,,20171015
11/8/2016,Nevada,NV,Trump,republican,45.500695317602400,,,,20171015
11/8/2016,Nevada,NV,Johnson,libertarian,3.3218853992189300,,,,20171015
11/8/2016,Nevada,NV,Kopitke,independent american,0.46810647023018800,,,,20171015
11/8/2016,Nevada,NV,De La Fuente,no party affiliation,0.22676683979260400,,,,20171015
11/8/2016,New Hampshire,NH,Clinton,democrat,46.826262669690600,,,,20171015
11/8/2016,New Hampshire,NH,Trump,republican,46.458666981953400,,,,20171015
11/8/2016,New Hampshire,NH,Johnson,libertarian,4.1350484215957100,,,,20171015
11/8/2016,New Hampshire,NH,Stein,green,0.87277104807764700,,,,20171015
11/8/2016,New Hampshire,NH,De La Fuente,american delta party,0.091092791040123800,,,,20171015
11/8/2016,New Jersey,NJ,Clinton,democrat,55.453084449694200,,,,20171015
11/8/2016,New Jersey,NJ,Trump,republican,41.350386650029500,,,,20171015
11/8/2016,New Jersey,NJ,Johnson,libertarian,1.8708347810015700,,,,20171015
11/8/2016,New Jersey,NJ,Stein,green,0.97500132935953800,,,,20171015
11/8/2016,New Jersey,NJ,Castle,constitution party,0.15903270121211800,,,,20171015
11/8/2016,New Jersey,NJ,Kennedy,socialist workers,0.055652410941945400,,,,20171015
11/8/2016,New Jersey,NJ,De La Fuente,american delta party,0.047443938456074100,,,,20171015
11/8/2016,New Jersey,NJ,Moorehead,workers world party,0.045146598672292500,,,,20171015
11/8/2016,New Jersey,NJ,La Riva,socialism and liberation party,0.043417140632816400,,,,20171015
11/8/2016,New Mexico,NM,Clinton,democrat,48.255647178634100,,,,20171015
11/8/2016,New Mexico,NM,Trump,republican,40.042514333242700,,,,20171015
11/8/2016,New Mexico,NM,Johnson,libertarian,9.3372448858163200,,,,20171015
11/8/2016,New Mexico,NM,Stein,green,1.2374752448582600,,,,20171015
11/8/2016,New Mexico,NM,McMullin,better for america,0.72965819428073200,,,,20171015
11/8/2016,New Mexico,NM,Castle,constitution party,0.18964849890833100,,,,20171015
11/8/2016,New Mexico,NM,La Riva,socialism and liberation party,0.148311639833200,,,,20171015
11/8/2016,New Mexico,NM,De La Fuente,american delta party,0.059500024426325800,,,,20171015
11/8/2016,New York,NY,Clinton,democrat,56.7223422845415,,,,20171015
11/8/2016,New York,NY,Trump,republican,32.7288400253165,,,,20171015
11/8/2016,New York,NY,Trump,conservative,3.78674842675336,,,,20171015
11/8/2016,New York,NY,Clinton,working families,1.81366123707546,,,,20171015
11/8/2016,New York,NY,Johnson,independence,1.54318105672598,,,,20171015
11/8/2016,New York,NY,Stein,green,1.3978457163438,,,,20171015
11/8/2016,New York,NY,Johnson,libertarian,0.743927341136442,,,,20171015
11/8/2016,New York,NY,Clinton,women's equality,0.627433722642617,,,,20171015
11/8/2016,North Carolina,NC,Trump,republican,49.828094696180400,,,,20171015
11/8/2016,North Carolina,NC,Clinton,democrat,46.172866168209500,,,,20171015
11/8/2016,North Carolina,NC,Johnson,libertarian,2.7443687357167400,,,,20171015
11/8/2016,North Dakota,ND,Trump,republican,62.955627831339300,,,,20171015
11/8/2016,North Dakota,ND,Clinton,democrat,27.22673945870600,,,,20171015
11/8/2016,North Dakota,ND,Johnson,libertarian,6.2243001510047600,,,,20171015
11/8/2016,North Dakota,ND,Stein,green,1.097688465559300,,,,20171015
11/8/2016,North Dakota,ND,Castle,constitution party,0.53229178766407200,,,,20171015
11/8/2016,North Dakota,ND,De La Fuente,american delta party,0.10570333372052500,,,,20171015
11/8/2016,Ohio,OH,Trump,republican,51.687650675786200,,,,20171015
