date,region,district,candidate,party,voteshare,candidatevotes,totalvotes
11/8/2016,FL,9,Liebnitzky,republican,42.51518,,
11/8/2016,FL,10,Demings,democrat,64.868672,,
11/8/2016,FL,10,Lowe,republican,35.131328,,
11/8/2016,FL,11,Koller,democrat,31.595388,,
11/8/2016,FL,11,Webster,republican,65.367008,,
11/8/2016,FL,11,Riggs,none,3.037604,,
11/8/2016,FL,12,Bilirakis,republican,68.59082,,
11/8/2016,FL,12,Tager,democrat,31.40918,,
11/8/2016,FL,13,Crist,democrat,51.903092,,
11/8/2016,FL,13,Jolly,republican,48.096908,,
11/8/2016,FL,14,Castor,democrat,61.787066,,
11/8/2016,FL,14,Quinn,republican,38.212934,,
11/8/2016,FL,15,Ross,republican,57.461206,,
11/8/2016,FL,15,Lange,democrat,42.538794,,
11/8/2016,FL,16,Buchanan,republican,59.767929,,
11/8/2016,FL,16,Schneider,democrat,40.232071,,
11/8/2016,FL,17,Freeman,democrat,34.243449,,
11/8/2016,FL,17,Rooney,republican,61.813833,,
11/8/2016,FL,17,Sawyer,none,3.942718,,
11/8/2016,FL,18,Mast,republican,53.600206,,
11/8/2016,FL,18,Spalding,none,3.326071,,
11/8/2016,FL,18,Perkins,democrat,43.073723,,
11/8/2016,FL,19,Rooney,republican,65.895487,,
11/8/2016,FL,19,Neeld,democrat,34.104513,,
11/8/2016,FL,20,Stein,republican,19.687995,,
11/8/2016,FL,20,Hastings,democrat,80.312005,,
11/8/2016,FL,21,Spain,republican,35.144896,,
11/8/2016,FL,21,Frankel,democrat,62.706298,,
11/8/2016,FL,21,Trout,none,2.148806,,
11/8/2016,FL,22,McGee,republican,41.064674,,
11/8/2016,FL,22,Deutch,democrat,58.935326,,
11/8/2016,FL,23,Schultz,democrat,56.704939,,
11/8/2016,FL,23,Endriss,none,1.60312,,
11/8/2016,FL,23,Milstein,none,1.206053,,
11/8/2016,FL,23,Kaufman,republican,40.485888,,
11/8/2016,FL,24,Wilson,democrat,100,,
11/8/2016,FL,25,Valdes,democrat,37.639788,,
11/8/2016,FL,25,Diaz-Balart,republican,62.360212,,
11/8/2016,FL,26,Peixoto,none,5.882185,,
11/8/2016,FL,26,Curbelo,republican,52.950004,,
11/8/2016,FL,26,Garcia,democrat,41.167811,,
11/8/2016,FL,27,Ros-Lehtinen,republican,54.893857,,
11/8/2016,FL,27,Fuhrman,democrat,45.106143,,
11/8/2016,FL,PV,republican,republican,53.56456233743510,,
11/8/2016,FL,PV,democrat,democrat,45.09383131071890,,
11/8/2016,GA,1,Carter,republican,100,,
11/8/2016,GA,2,Bishop,democrat,61.229848,,
11/8/2016,GA,2,Duke,republican,38.770152,,
11/8/2016,GA,3,Pendley,democrat,31.653402,,
11/8/2016,GA,3,Ferguson,republican,68.346598,,
11/8/2016,GA,4,Johnson,democrat,75.71946,,
11/8/2016,GA,4,Armendariz,republican,24.28054,,
11/8/2016,GA,5,Bell,republican,15.560857,,
11/8/2016,GA,5,Lewis,democrat,84.439143,,
11/8/2016,GA,6,Stooksbury,democrat,38.31751,,
11/8/2016,GA,6,Price,republican,61.68249,,
11/8/2016,GA,7,Malik,democrat,39.618316,,
11/8/2016,GA,7,Woodall,republican,60.381684,,
11/8/2016,GA,8,Scott,republican,67.642919,,
11/8/2016,GA,8,Harris,democrat,32.357081,,
11/8/2016,GA,9,Collins,republican,100,,
11/8/2016,GA,10,Hice,republican,100,,
11/8/2016,GA,11,Loudermilk,republican,67.405774,,
11/8/2016,GA,11,Wilson,democrat,32.594226,,
11/8/2016,GA,12,Allen,republican,61.600853,,
11/8/2016,GA,12,McCracken,democrat,38.399147,,
11/8/2016,GA,13,Scott,democrat,100,,
11/8/2016,GA,14,Graves,republican,100,,
11/8/2016,GA,PV,republican,republican,60.26311511558130,,
11/8/2016,GA,PV,democrat,democrat,39.73688488441880,,
11/8/2016,HI,1,Griffin,none,2.164986,,
11/8/2016,HI,1,Hanabusa,democrat,71.861611,,
11/8/2016,HI,1,Yim,libertarian,3.262057,,
11/8/2016,HI,1,Ostrov,republican,22.711347,,
11/8/2016,HI,2,Kaaihue,republican,18.843223,,
11/8/2016,HI,2,Gabbard,democrat,81.156777,,
11/8/2016,HI,PV,democrat,democrat,76.60103712279560,,
11/8/2016,HI,PV,republican,republican,20.73906503937050,,
11/8/2016,IA,1,Vernon,democrat,46.161913,,
11/8/2016,IA,1,Blum,republican,53.838087,,
11/8/2016,IA,2,Peters,republican,46.260122,,
11/8/2016,IA,2,Loebsack,democrat,53.739878,,
11/8/2016,IA,3,Addy,nominated by petition,1.628369,,
11/8/2016,IA,3,Holder,libertarian,3.943176,,
11/8/2016,IA,3,Young,republican,53.508893,,
11/8/2016,IA,3,Mowrer,democrat,39.760619,,
11/8/2016,IA,3,Grandanette,nominated by petition,1.158943,,
11/8/2016,IA,4,King,republican,61.323138,,
11/8/2016,IA,4,Weaver,democrat,38.676862,,
11/8/2016,IA,PV,democrat,democrat,44.53461172490350,,
11/8/2016,IA,PV,republican,republican,53.73163027964270,,
11/8/2016,ID,1,Labrador,republican,68.181613,,
11/8/2016,ID,1,Piotrowski,democrat,31.818387,,
11/8/2016,ID,2,Simpson,republican,62.927258,,
11/8/2016,ID,2,Tomkins,constitution,7.664673,,
11/8/2016,ID,2,Martinez,democrat,29.408068,,
11/8/2016,ID,PV,republican,republican,65.66648228059650,,
11/8/2016,ID,PV,democrat,democrat,30.66462619270150,,
11/8/2016,ID,PV,constitution,constitution,3.6688915267019900,,
11/8/2016,IL,1,Rush,democrat,74.096576,,
11/8/2016,IL,1,Deuser,republican,25.903424,,
11/8/2016,IL,2,Morrow,republican,20.19238,,
11/8/2016,IL,2,Kelly,democrat,79.80762,,
11/8/2016,IL,3,Lipinski,democrat,99.959629,,
11/8/2016,IL,3,Harris,independent,0.040371,,
11/8/2016,IL,4,Gutiérrez,democrat,100,,
11/8/2016,IL,5,Kolber,republican,27.483656,,
11/8/2016,IL,5,Quigley,democrat,67.844359,,
11/8/2016,IL,5,Sherman,green,4.671986,,
11/8/2016,IL,6,Roskam,republican,59.224015,,
11/8/2016,IL,6,Howland,democrat,40.775985,,
11/8/2016,IL,7,Leef,republican,15.760457,,
