date,region,state_po,class,special,runoff,offyear,candidate,party,writein,voteshare,candidatevotes,totalvotes,version
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Wells,none,FALSE,0.000742532863212729,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Hebert,none,FALSE,0.00475811854289316,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Kennedy,republican,FALSE,0.268468940295952,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Taylor,other,FALSE,0.000576301635575085,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Clements,libertarian,FALSE,0.00569291885012052,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Landrieu,democrat,FALSE,0.0228252499226424,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Campbell,democrat,FALSE,0.174150242987996,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Patel,republican,FALSE,0.000789097634810021,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Cao,republican,FALSE,0.0105241390774567,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Duke,republican,FALSE,0.0293438172497945,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Crawford,republican,FALSE,0.0127792759728783,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Marsala,republican,FALSE,0.0018445657910153,,,20210114
11/8/2016,Maryland,MD,3,FALSE,FALSE,FALSE,Hollen,democrat,FALSE,0.608878756643936,,,20210114
11/8/2016,Maryland,MD,3,FALSE,FALSE,FALSE,Flowers,green,FALSE,0.0330023439477362,,,20210114
11/8/2016,Maryland,MD,3,FALSE,FALSE,FALSE,Szeliga,republican,FALSE,0.356748478634861,,,20210114
11/8/2016,Missouri,MO,3,FALSE,FALSE,FALSE,Blunt,republican,FALSE,0.491843217655372,,,20210114
11/8/2016,Missouri,MO,3,FALSE,FALSE,FALSE,McFarland,green,FALSE,0.0109693121156968,,,20210114
11/8/2016,Missouri,MO,3,FALSE,FALSE,FALSE,Wallace,,TRUE,3.56806821575538E-07,,,20210114
11/8/2016,Missouri,MO,3,FALSE,FALSE,FALSE,Ryman,constitution,FALSE,0.00906539091576968,,,20210114
11/8/2016,Missouri,MO,3,FALSE,FALSE,FALSE,Kander,democrat,FALSE,0.463920229412514,,,20210114
11/8/2016,Missouri,MO,3,FALSE,FALSE,FALSE,Dine,libertarian,FALSE,0.0241693804798838,,,20210114
11/8/2016,Nevada,NV,3,FALSE,FALSE,FALSE,Heck,republican,FALSE,0.446703672491234,,,20210114
